addrs,alive_time,ip,port,proof_time,speed,style
北京,143天,111.155.124.82,8123,17-11-26 11:44,5.881秒,HTTPS
安徽,11小时,223.215.181.112,808,17-11-26 11:31,0.543秒,HTTPS
广东东莞,101天,221.4.133.67,53281,17-11-26 11:25,0.237秒,HTTPS
浙江温州,1分钟,125.109.199.4,39545,17-11-26 11:16,0.623秒,HTTP
浙江温州,11小时,115.219.1.219,53281,17-11-26 11:14,2.39秒,HTTPS
云南临沧,3小时,112.114.99.16,8118,17-11-26 11:14,0.34秒,HTTP
安徽合肥,247天,202.141.161.30,8118,17-11-26 10:56,0.136秒,HTTP
福建泉州,1分钟,121.205.9.150,32611,17-11-26 10:55,0.176秒,HTTPS
河南,1分钟,123.162.200.195,46554,17-11-26 10:55,1.408秒,HTTPS
湖北襄阳,1天,219.138.58.144,3128,17-11-26 10:50,1.148秒,HTTP
云南临沧,3天,112.114.95.89,8118,17-11-26 10:40,3.181秒,HTTPS
湖北襄阳,9小时,219.138.58.247,3128,17-11-26 10:35,1.203秒,HTTPS
湖南娄底,35分钟,220.170.241.16,808,17-11-26 10:35,0.798秒,HTTP
广西梧州,1分钟,121.31.86.121,8123,17-11-26 10:33,6.646秒,HTTPS
江苏宿迁市泗阳县,210天,114.239.150.242,808,17-11-26 10:31,3.869秒,HTTPS
安徽,1分钟,223.241.119.208,8010,17-11-26 10:30,7.188秒,HTTP
云南临沧,100天,112.114.97.196,8118,17-11-26 10:29,0.518秒,HTTPS
山东,1分钟,140.250.135.179,33769,17-11-26 10:22,0.194秒,HTTPS
山东济南,1分钟,122.4.44.177,30202,17-11-26 10:22,0.136秒,HTTPS
云南临沧,3天,112.114.96.141,8118,17-11-26 10:19,3.641秒,HTTPS
广西南宁,1分钟,115.46.75.119,8123,17-11-26 10:01,2.629秒,HTTP
广西北海,1分钟,121.31.141.254,8123,17-11-26 09:55,5.318秒,HTTPS
福建龙岩,1分钟,59.60.168.36,20061,17-11-26 09:44,0.592秒,HTTPS
云南临沧,1天,112.114.92.184,8118,17-11-26 09:40,3.795秒,HTTP
云南临沧,19分钟,112.114.98.125,8118,17-11-26 09:34,0.436秒,HTTP
,1分钟,106.46.6.19,41218,17-11-26 09:33,0.215秒,HTTPS
江西南昌,1分钟,117.43.121.198,8118,17-11-26 09:33,3.586秒,HTTPS
云南临沧,2小时,112.114.92.61,8118,17-11-26 09:32,0.331秒,HTTPS
广西梧州,1分钟,182.90.82.103,8123,17-11-26 09:31,6.47秒,HTTP
江苏常州,16小时,121.231.154.218,6666,17-11-26 09:30,0.38秒,HTTPS
广西玉林,1分钟,171.38.70.220,8123,17-11-26 09:22,1.352秒,HTTPS
浙江杭州,5小时,115.200.160.68,80,17-11-26 09:20,0.127秒,HTTPS
云南临沧,1小时,112.114.99.75,8118,17-11-26 09:17,0.314秒,HTTPS
山东,1分钟,140.250.136.7,29134,17-11-26 09:16,0.231秒,HTTP
浙江温州,1分钟,218.73.136.193,41466,17-11-26 09:16,0.521秒,HTTP
广西防城港,102天,110.73.30.151,8123,17-11-26 09:16,1.605秒,HTTP
广西南宁,122天,110.73.52.76,8123,17-11-26 09:15,1.894秒,HTTPS
辽宁大连,36天,123.185.131.48,8080,17-11-26 09:11,1.834秒,HTTPS
广西南宁,26分钟,115.46.64.120,8123,17-11-26 09:11,6.54秒,HTTPS
云南临沧,46分钟,112.114.96.252,8118,17-11-26 09:09,0.679秒,HTTPS
广西南宁,645天,182.88.4.27,8123,17-11-26 09:04,0.288秒,HTTP
云南临沧,15小时,112.114.94.90,8118,17-11-26 09:04,1.315秒,HTTPS
广西南宁,1分钟,182.88.188.184,8123,17-11-26 09:00,2.561秒,HTTPS
云南临沧,13小时,112.114.94.184,8118,17-11-26 08:56,1.98秒,HTTPS
安徽,1分钟,223.241.116.158,8010,17-11-26 08:55,6.811秒,HTTPS
云南临沧,1天,112.114.94.186,8118,17-11-26 08:54,1.701秒,HTTPS
云南临沧,1天,112.114.98.157,8118,17-11-26 08:50,2.923秒,HTTPS
广西南宁,639天,115.46.67.100,8123,17-11-26 08:46,2.209秒,HTTP
广西南宁,1分钟,115.46.76.90,8123,17-11-26 08:45,2.153秒,HTTP
广西南宁,209天,115.46.67.75,8123,17-11-26 08:45,5.636秒,HTTPS
安徽,10天,223.241.116.231,8010,17-11-26 08:40,2.371秒,HTTPS
广西南宁,649天,110.73.54.169,8123,17-11-26 08:33,3.069秒,HTTP
湖北襄阳,3天,219.138.58.118,3128,17-11-26 08:31,0.847秒,HTTPS
广西防城港,330天,110.73.13.236,8123,17-11-26 08:30,3.233秒,HTTP
云南临沧,1分钟,112.114.93.248,8118,17-11-26 08:22,0.337秒,HTTPS
广西北海,1分钟,121.31.140.168,8123,17-11-26 08:22,3.061秒,HTTPS
安徽,2小时,223.241.118.112,8010,17-11-26 08:14,6.564秒,HTTPS
广西贵港,1分钟,110.72.26.229,8123,17-11-26 08:11,2.759秒,HTTPS
山东枣庄,60天,60.214.155.243,53281,17-11-26 08:11,4.435秒,HTTPS
云南临沧,109天,112.114.94.141,8118,17-11-26 08:11,1.979秒,HTTPS
广西玉林,54分钟,171.38.21.215,8123,17-11-26 08:06,2.476秒,HTTPS
江苏泰州,1分钟,180.122.148.211,33191,17-11-26 07:55,0.346秒,HTTPS
山东,1分钟,113.121.173.168,45342,17-11-26 07:55,0.206秒,HTTPS
安徽,1天,223.241.116.184,8010,17-11-26 07:55,2.757秒,HTTPS
北京,481天,111.155.124.75,8123,17-11-26 07:55,2.309秒,HTTP
云南临沧,113天,112.114.95.77,8118,17-11-26 07:48,1.332秒,HTTP
福建泉州,2分钟,220.162.76.114,41995,17-11-26 07:46,0.177秒,HTTPS
浙江金华,1分钟,122.242.93.178,34609,17-11-26 07:45,1.95秒,HTTPS
安徽芜湖,4天,223.241.78.102,8010,17-11-26 07:33,3.267秒,HTTP
上海,19小时,222.71.121.248,31288,17-11-26 07:31,0.141秒,HTTP
辽宁鞍山,1分钟,119.114.22.16,36756,17-11-26 07:22,2.272秒,HTTPS
广西南宁,1分钟,182.88.14.122,8123,17-11-26 07:16,0.648秒,HTTP
浙江杭州,1分钟,183.128.124.152,42709,17-11-26 07:15,1.917秒,HTTP
山东烟台市莱阳,6小时,113.121.20.147,808,17-11-26 07:01,0.222秒,HTTP
安徽芜湖,8天,223.241.79.149,8010,17-11-26 07:01,4.205秒,HTTPS
江苏常州,1分钟,121.231.144.124,6666,17-11-26 06:45,0.138秒,HTTPS
广东广州,101天,183.63.101.62,53281,17-11-26 06:31,3.265秒,HTTPS
河南平顶山,1分钟,1.194.133.199,33067,17-11-26 06:22,0.202秒,HTTPS
浙江舟山,1分钟,123.96.137.28,23495,17-11-26 06:22,0.534秒,HTTPS
浙江,1分钟,36.25.58.12,34879,17-11-26 06:22,3.123秒,HTTPS
江苏常州,1分钟,114.226.166.150,35978,17-11-26 06:22,0.489秒,HTTPS
四川成都,673天,118.114.77.47,8080,17-11-26 06:16,3.136秒,HTTP
上海,101天,180.167.46.22,53281,17-11-26 05:55,0.189秒,HTTP
